wave[A] flux[Arbitrary]
684000 0.13879
684500 0.13858
685000 0.13837
685500 0.13816
686000 0.13794
686500 0.13773
687000 0.13753
687500 0.13732
688000 0.13712
688500 0.13692
689000 0.13672
689500 0.13652
690000 0.13632
690500 0.13611
691000 0.13591
691500 0.13571
692000 0.13551
692500 0.13531
693000 0.13511
693500 0.13490
694000 0.13470
694500 0.13450
695000 0.13430
695500 0.13410
696000 0.13390
696500 0.13370
697000 0.13349
697500 0.13329
698000 0.13309
698500 0.13289
699000 0.13269
699500 0.13249
700000 0.13228
700500 0.13208
701000 0.13188
701500 0.13168
702000 0.13148
702500 0.13128
703000 0.13107
703500 0.13087
704000 0.13067
704500 0.13047
705000 0.13027
705500 0.13007
706000 0.12986
706500 0.12966
707000 0.12946
707500 0.12926
708000 0.12906
708500 0.12886
709000 0.12865
709500 0.12845
710000 0.12825
710500 0.12805
711000 0.12785
711500 0.12765
712000 0.12744
712500 0.12724
713000 0.12704
713500 0.12684
714000 0.12664
714500 0.12644
715000 0.12624
715500 0.12603
716000 0.12583
716500 0.12563
717000 0.12543
717500 0.12523
718000 0.12503
718500 0.12482
719000 0.12462
719500 0.12443
720000 0.12424
720500 0.12404
721000 0.12385
721500 0.12366
722000 0.12347
722500 0.12327
723000 0.12308
723500 0.12289
724000 0.12270
724500 0.12251
725000 0.12231
725500 0.12212
726000 0.12193
726500 0.12174
727000 0.12154
727500 0.12135
728000 0.12116
728500 0.12097
729000 0.12078
729500 0.12058
730000 0.12039
730500 0.12020
731000 0.12001
731500 0.11981
732000 0.11962
732500 0.11943
733000 0.11924
733500 0.11905
734000 0.11885
734500 0.11866
735000 0.11847
735500 0.11828
736000 0.11808
736500 0.11789
737000 0.11770
737500 0.11751
738000 0.11732
738500 0.11712
739000 0.11693
739500 0.11674
740000 0.11655
740500 0.11635
741000 0.11616
741500 0.11597
742000 0.11578
742500 0.11559
743000 0.11539
743500 0.11520
744000 0.11501
744500 0.11482
745000 0.11462
745500 0.11443
746000 0.11424
746500 0.11405
747000 0.11386
747500 0.11366
748000 0.11347
748500 0.11328
749000 0.11309
749500 0.11289
750000 0.11270
750500 0.11251
751000 0.11232
751500 0.11213
752000 0.11193
752500 0.11174
753000 0.11155
753500 0.11136
754000 0.11118
754500 0.11100
755000 0.11082
755500 0.11063
756000 0.11045
756500 0.11027
757000 0.11008
757500 0.10990
758000 0.10972
758500 0.10953
759000 0.10935
759500 0.10917
760000 0.10898
760500 0.10880
761000 0.10862
761500 0.10843
762000 0.10825
762500 0.10807
763000 0.10789
763500 0.10770
764000 0.10752
764500 0.10734
765000 0.10715
765500 0.10697
766000 0.10679
766500 0.10660
767000 0.10642
767500 0.10624
768000 0.10605
768500 0.10587
769000 0.10569
769500 0.10550
770000 0.10532
770500 0.10514
771000 0.10496
771500 0.10477
772000 0.10459
772500 0.10441
773000 0.10422
773500 0.10404
774000 0.10386
774500 0.10367
775000 0.10349
775500 0.10331
776000 0.10312
776500 0.10294
777000 0.10276
777500 0.10257
778000 0.10239
778500 0.10221
779000 0.10203
779500 0.10184
780000 0.10166
780500 0.10148
781000 0.10129
781500 0.10111
782000 0.10093
782500 0.10074
783000 0.10056
783500 0.10038
784000 0.10019
784500 0.10001
785000 0.09983
785500 0.09964
786000 0.09946
786500 0.09928
787000 0.09910
787500 0.09891
788000 0.09873
788500 0.09855
789000 0.09837
789500 0.09820
790000 0.09802
790500 0.09785
791000 0.09767
791500 0.09750
792000 0.09732
792500 0.09715
793000 0.09698
793500 0.09680
794000 0.09663
794500 0.09645
795000 0.09628
795500 0.09610
796000 0.09593
796500 0.09576
797000 0.09558
797500 0.09541
798000 0.09523
798500 0.09506
799000 0.09488
799500 0.09471
800000 0.09454
800500 0.09436
801000 0.09419
801500 0.09401
802000 0.09384
802500 0.09366
803000 0.09349
803500 0.09331
804000 0.09314
804500 0.09297
805000 0.09279
805500 0.09262
806000 0.09244
806500 0.09227
807000 0.09209
807500 0.09192
808000 0.09175
808500 0.09157
809000 0.09140
809500 0.09122
810000 0.09105
810500 0.09087
811000 0.09070
811500 0.09053
812000 0.09035
812500 0.09018
813000 0.09000
813500 0.08983
814000 0.08965
814500 0.08948
815000 0.08930
815500 0.08913
816000 0.08896
816500 0.08878
817000 0.08861
817500 0.08843
818000 0.08826
818500 0.08808
819000 0.08791
819500 0.08774
820000 0.08756
820500 0.08739
821000 0.08721
821500 0.08704
822000 0.08686
822500 0.08669
823000 0.08652
823500 0.08634
824000 0.08617
824500 0.08599
825000 0.08582
825500 0.08564
826000 0.08547
826500 0.08531
827000 0.08514
827500 0.08498
828000 0.08481
828500 0.08465
829000 0.08448
829500 0.08431
830000 0.08415
830500 0.08398
831000 0.08382
831500 0.08365
832000 0.08348
832500 0.08332
833000 0.08315
833500 0.08299
834000 0.08282
834500 0.08265
835000 0.08249
835500 0.08232
836000 0.08216
836500 0.08199
837000 0.08183
837500 0.08166
838000 0.08149
838500 0.08133
839000 0.08116
839500 0.08100
840000 0.08083
840500 0.08066
841000 0.08050
841500 0.08033
842000 0.08017
842500 0.08000
843000 0.07984
843500 0.07967
844000 0.07950
844500 0.07934
845000 0.07917
845500 0.07901
846000 0.07884
846500 0.07867
847000 0.07851
847500 0.07834
848000 0.07818
848500 0.07801
849000 0.07784
849500 0.07768
850000 0.07751
850500 0.07735
851000 0.07718
851500 0.07702
852000 0.07685
852500 0.07668
853000 0.07652
853500 0.07635
854000 0.07619
854500 0.07602
855000 0.07585
855500 0.07569
856000 0.07552
856500 0.07536
857000 0.07519
857500 0.07503
858000 0.07486
858500 0.07469
859000 0.07453
859500 0.07436
860000 0.07420
860500 0.07403
861000 0.07386
861500 0.07370
862000 0.07353
862500 0.07337
863000 0.07320
863500 0.07303
864000 0.07287
864500 0.07270
865000 0.07254
865500 0.07239
866000 0.07223
866500 0.07207
867000 0.07191
867500 0.07176
868000 0.07160
868500 0.07144
869000 0.07128
869500 0.07112
870000 0.07097
870500 0.07081
871000 0.07065
871500 0.07049
872000 0.07034
872500 0.07018
873000 0.07002
873500 0.06986
874000 0.06971
874500 0.06955
875000 0.06939
